name,company,year,Price,kms_driven,fuel_type,car_age,is_luxury,kms_per_year
Mahindra XUV500,Mahindra,2014,13.458835614025542,10.859018228147887,Diesel,6,0,7428.571428571428
Ford Fiesta,Ford,2011,12.524526376648708,10.915106645867503,Diesel,9,0,5500.0
Honda City,Honda,2015,13.304684934198283,10.308985993422082,Diesel,5,0,5000.0
Maruti Suzuki Wagon,Maruti,2012,12.206072645530174,10.691967639914864,Petrol,8,0,4888.888888888889
Honda City,Honda,2014,13.208541073645382,10.714439990727769,Diesel,6,0,6428.571428571428
Hyundai i20,Hyundai,2009,12.201065128819632,10.34177474101152,Petrol,11,0,2583.3333333333335
Tata Indigo eCS,Tata,2016,12.676079399771027,12.075001082186297,Diesel,4,0,35086.0
Hyundai Fluidic Verna,Hyundai,2015,13.199326270390594,10.545367754151743,Diesel,5,0,6333.333333333333
Mahindra Quanto C8,Mahindra,2013,12.73670383776449,10.518700218288165,Diesel,7,0,4625.0
Fiat Petra ELX,Fiat,2008,11.225256725762893,11.082157933374816,Petrol,12,0,5000.0
Hyundai Santro Xing,Hyundai,2005,10.799595985047786,8.922791623969637,Petrol,15,0,468.75
Maruti Suzuki Ciaz,Maruti,2016,13.45883704259595,8.11701408773731,Petrol,4,0,670.0
Maruti Suzuki Zen,Maruti,2000,10.915106645867503,11.002116507732017,Petrol,20,0,2857.1428571428573
Hyundai Creta 1.6,Hyundai,2017,13.704580114574805,10.373522431293592,Petrol,3,0,8000.0
Mahindra Scorpio SLX,Mahindra,2007,12.779875885354993,11.225256725762893,Diesel,13,0,5357.142857142857
Mahindra Scorpio SLE,Mahindra,2012,13.244582780038517,11.034905792929415,Diesel,8,0,6888.888888888889
Toyota Innova 2.5,Toyota,2006,12.807655372286902,11.19822841866684,Diesel,14,0,4866.666666666667
Maruti Suzuki Alto,Maruti,2011,11.884495917930655,10.62135173563291,Petrol,9,0,4100.0
Maruti Suzuki Wagon,Maruti,2011,12.25486757159303,10.463131911491967,Petrol,9,0,3500.0
Tata Nano Cx,Tata,2013,10.596659732783579,7.696667081526462,Petrol,7,0,275.0
Maruti Suzuki Alto,Maruti,2013,11.736077016252437,10.571342565808699,Petrol,7,0,4875.0
Maruti Suzuki Wagon,Maruti,2009,11.813037464800539,10.714439990727769,Petrol,11,0,3750.0
Maruti Suzuki Swift,Maruti,2006,11.813037464800539,10.714439990727769,Petrol,14,0,3000.0
Tata Sumo Victa,Tata,2012,12.560247968016562,11.082157933374816,Diesel,8,0,7222.222222222223
Maruti Suzuki Wagon,Maruti,2010,11.884495917930655,10.912740254782156,Petrol,10,0,4988.181818181818
Maruti Suzuki Alto,Maruti,2010,11.813037464800539,10.451059677269122,Petrol,10,0,3143.6363636363635
